"Protein.Group","Protein.Ids","Protein.Names","Genes","First.Protein.Description","b1_9_rep","b1_7","b1_2","b1_3","b1_6","b1_pool","b1_5","b1_1","b1_9","b1_4","b1_8","b1_10","b2_4","b2_8","b2_6","b2_9","b2_3","b2_1","b2_10","b2_7","b2_2","b2_pool","b2_5","b2_9_rep"
"A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08","A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08","HV434_HUMAN;HV439_HUMAN;HV459_HUMAN;HV461_HUMAN;HVD34_HUMAN;HVD82_HUMAN","IGHV4-30-4;IGHV4-34;IGHV4-38-2;IGHV4-39;IGHV4-59;IGHV4-61","Immunoglobulin heavy variable 4-61",13763.7,10001,10443.3,8946.73,14532,12061.6,11517.5,7423.76,13927.5,3553.79,NA,12560.1,7062.99,4695.19,14173.6,6123.75,9582.87,11088.4,9289.95,14509.5,NA,10581.3,7065.05,12049
"A0A0C4DH43","A0A0C4DH43","HV70D_HUMAN","IGHV2-70D","Immunoglobulin heavy variable 2-70D",3530.36,41349.9,30192.2,2517.02,NA,26365.3,40232.8,51922.9,3978.61,NA,28120.4,3003.15,3645.69,33714.6,32128.6,64159.3,72926,64625.2,36389.3,6562,8471.96,23160.1,40223.3,89291.9
"A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432","A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432","KV106_HUMAN;KV112_HUMAN;KV139_HUMAN;KVD12_HUMAN;KVD39_HUMAN","IGKV1-12;IGKV1-39;IGKV1-6;IGKV1D-12;IGKV1D-39","Immunoglobulin kappa variable 1-6",8361.09,NA,12263.8,5234.44,11935.8,11910.6,12023.8,7673.73,15510.2,NA,7701.28,13403.1,12602,13896.7,17650.7,NA,11948.2,11794.4,12908.8,NA,NA,12181.9,21326.2,4462.27
"A0A0G2JS06","A0A0G2JS06","LV539_HUMAN","IGLV5-39","Immunoglobulin lambda variable 5-39",NA,8251.51,NA,29370.7,9292.5,16910,NA,NA,NA,7676.3,7865.94,9408.05,NA,NA,10292.5,12032.5,15938.8,17400.5,7244.94,11820.5,14937.4,12802.7,8846.47,7703.44
"A0A0J9YX35","A0A0J9YX35","HV64D_HUMAN","IGHV3-64D","Immunoglobulin heavy variable 3-64D",8095.8,13342.6,11300.2,15409.8,12196.4,4045.29,4928.78,4147.98,10968.6,5756.21,8655.75,22057.5,9878.93,6694.98,16649.6,13165.3,10078.5,2840.94,8155.64,14615.5,9525.35,8892.73,NA,8479.27
"A0A0J9YXX1","A0A0C4DH38;A0A0J9YXX1","HV5X1_HUMAN","IGHV5-10-1","Immunoglobulin heavy variable 5-10-1",16011.1,16859,17748,7410.08,7925.03,16777.6,3840.05,5298.42,12343.9,8784.41,19830.7,23067.1,17279.1,4880.54,11669.1,24990.6,15133.8,5345.5,12071.9,16094.8,5056.51,7079.38,6665.02,19050.9
"A0A1B0GTC6","A0A1B0GTC6","CC085_HUMAN","C3orf85","Uncharacterized protein C3orf85",39575.5,53049.8,29905.2,34557.2,55745,51893,53642.5,67538.2,32980.4,16560.5,57858.4,39028.7,52917,68772.9,45956,66795.9,50227.3,22797.2,40444.8,60384.5,54219.6,56738.2,48080.6,65192.4
"A0FGR8;A0FGR8-2;A0FGR8-6","A0FGR8-2;A0FGR8-5;A0FGR8-6;A0FGR8","ESYT2_HUMAN","ESYT2","Extended synaptotagmin-2",6272.62,3014.84,89916.1,18789.4,10559.8,22807,25311.2,17083.1,30032.1,2754.53,11031.8,2045.62,17238.1,5193.68,3098.11,3556.04,21614.7,28581.7,2624.46,2660.98,NA,20092.8,7472.53,4406
"A0MZ66;A0MZ66-3;A0MZ66-4;A0MZ66-5;A0MZ66-6;A0MZ66-8","A0MZ66-2;A0MZ66-3;A0MZ66-4;A0MZ66-5;A0MZ66-6;A0MZ66-8;A0MZ66","SHOT1_HUMAN","SHTN1","Shootin-1",6163.38,2299.29,2958.66,2937.1,NA,4880.66,2982.87,NA,NA,19614.2,1317.7,NA,NA,5578.44,1535.2,2879.36,2916.79,3086.34,NA,466.385,NA,8862.12,5133.08,3253.44
"A1A4S6","A1A4S6","RHG10_HUMAN","ARHGAP10","Rho GTPase-activating protein 10",7841.46,NA,44797.6,12555.1,NA,10261.9,6136.16,9972.25,2685.42,5728.32,2763.24,NA,4856.93,NA,NA,NA,14336.8,14400.1,NA,NA,4508.24,13647.9,6687.4,NA
"A1L0T0","A1L0T0","HACL2_HUMAN","ILVBL","2-hydroxyacyl-CoA lyase 2",NA,NA,4384.05,1821.03,NA,NA,NA,690.694,NA,NA,NA,NA,NA,NA,NA,NA,2147.21,3483.3,NA,NA,NA,2878.52,NA,NA
"A1L4H1","A1L4H1","SRCRL_HUMAN","SSC5D","Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D",27800.1,27018,13341.1,16615.1,28029.1,29656.2,30541,29364.6,27843.4,31953,28105.4,27090.8,25886.8,31548.6,23119.4,23949,15293.7,24448.9,40809.8,28470,16201.5,25758.1,13895,28324.5
"A1X283","A1X283","SPD2B_HUMAN","SH3PXD2B","SH3 and PX domain-containing protein 2B",15080.2,10054.4,35170.8,16744.9,5286.49,15339.1,NA,21159.4,NA,NA,43423.6,NA,11641.9,NA,NA,NA,14896.5,7720.81,NA,7770.4,17408.1,21762.5,NA,NA
"A2CJ06","A2CJ06","DYTN_HUMAN","DYTN","Dystrotelin",7248.61,13276.9,3983.51,7051.34,7808.6,12453.5,3575.57,13320.4,6971.27,5756.34,10917.7,11212.4,NA,11067.1,11408.1,6796.66,12896.8,10757.8,6957.57,15627.4,6770.99,12292.1,7158.95,8323.06
"A2RRP1","A2RRP1-2;A2RRP1","NBAS_HUMAN","NBAS","NBAS subunit of NRZ tethering complex",714.564,NA,17261.5,7042.03,NA,8109.28,3572.86,3130.78,1194.81,NA,NA,11387.3,2105.3,NA,NA,48616.3,6835.89,10091.9,NA,NA,NA,7029.63,NA,NA
"A2RTX5","A2RTX5-2;A2RTX5","SYTC2_HUMAN","TARS3","Threonine--tRNA ligase 2, cytoplasmic",NA,NA,2753.65,1668.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4597.49,NA,NA,NA,NA,NA,NA,NA
"A2RUS2;A2RUS2-2","A2RUS2-2;A2RUS2","DEND3_HUMAN","DENND3","DENN domain-containing protein 3",3910.74,2465.09,36931.5,13711.5,NA,9624.78,NA,6935.07,4423.32,3079.83,NA,NA,3521.66,NA,NA,NA,11649.1,13001.4,NA,NA,NA,8979.03,NA,6575.54
"A4D1B5-4","A4D1B5-4","GSAP_HUMAN","GSAP","Isoform 4 of Gamma-secretase-activating protein",185931,129455,62743.6,135436,189643,162412,153451,258464,170806,133691,127793,38076,263701,146121,186761,145026,224090,114156,79790.7,119878,201299,160717,237846,104187
"A4D1P6;A4D1P6-2","A4D1P6-2;A4D1P6","WDR91_HUMAN","WDR91","WD repeat-containing protein 91",NA,4117.37,7606.01,2461.25,NA,2658.41,NA,NA,1876.38,2504.8,2113.7,NA,NA,NA,2401.51,NA,8020.17,8880.25,NA,NA,4813.85,NA,5294.65,NA
"A5PLN9;A5PLN9-2;A5PLN9-4;A5PLN9-5;A5PLN9-7","A5PLN9-2;A5PLN9-4;A5PLN9-5;A5PLN9-7;A5PLN9","TPC13_HUMAN","TRAPPC13","Trafficking protein particle complex subunit 13",NA,NA,4951.26,1686.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1111.98,NA,NA,3160.75,NA,NA,NA,NA,NA,NA
"A5YKK6;A5YKK6-2","A5YKK6-2;A5YKK6","CNOT1_HUMAN","CNOT1","CCR4-NOT transcription complex subunit 1",NA,NA,2326.16,NA,NA,1981.13,NA,NA,678.878,NA,NA,NA,NA,NA,NA,NA,NA,1427.07,NA,NA,NA,NA,NA,NA
"A6NCW0;A8MUK1;C9J2P7;C9JJH3;C9JLJ4;C9JPN9;C9JVI0;D6R901;D6R9N7;D6RA61;D6RBQ6;D6RCP7;D6RJB6;Q0WX57;Q7RTZ2","A6NCW0;A8MUK1;C9J2P7;C9JJH3;C9JLJ4;C9JPN9;C9JVI0;D6R901;D6R9N7;D6RA61;D6RBQ6;D6RCP7;D6RJB6;Q0WX57;Q7RTZ2","U17L1_HUMAN;U17L3_HUMAN;U17L5_HUMAN;U17LA_HUMAN;U17LB_HUMAN;U17LD_HUMAN;U17LF_HUMAN;U17LH_HUMAN;U17LI_HUMAN;U17LJ_HUMAN;U17LK_HUMAN;U17LL_HUMAN;U17LM_HUMAN;U17LO_HUMAN;UL17C_HUMAN","USP17L1;USP17L10;USP17L11;USP17L12;USP17L13;USP17L15;USP17L17;USP17L18;USP17L19;USP17L20;USP17L21;USP17L22;USP17L24;USP17L3;USP17L5","Ubiquitin carboxyl-terminal hydrolase 17-like protein 3",NA,NA,NA,NA,112443,NA,NA,NA,NA,NA,NA,61792,NA,81343.2,107918,NA,NA,NA,NA,NA,NA,NA,83633.1,NA
"A6ND91","A6ND91","ASPDH_HUMAN","ASPDH","Aspartate dehydrogenase domain-containing protein",NA,NA,NA,4058.41,NA,8736.97,11462,NA,NA,13847.3,NA,3590.47,NA,2680.78,NA,NA,2709.18,NA,NA,2172.07,NA,3862.59,NA,NA
"A6NDG6","A6NDG6","PGP_HUMAN","PGP","Glycerol-3-phosphate phosphatase",10154.8,7538.66,9734.54,8203.15,11396.3,14021.4,23698.2,22307.8,11082.9,10864,9870.46,13393.2,30286.1,11718.9,4881.22,13574.9,14339.1,10842.7,12876.5,14549,3723.41,16723.9,11034.2,13922.3
"A6NH11","A6NH11","GLTD2_HUMAN","GLTPD2","Glycolipid transfer protein domain-containing protein 2",20094.1,13829.4,9820.73,8401.03,16683.5,20670.5,18930.2,10954.8,17174.2,11693.2,13670.6,22656,18493.1,22293.2,13914.8,15834.4,12686.5,10489.1,22371.6,12292.3,6817.91,14207.5,17013,14091.6
"A6NHN6;E5RHQ5;E9PJ23;E9PQR5;F8W1W9;O75200","A6NHN6;E5RHQ5;E9PJ23;E9PQR5;F8W1W9;O75200","NPB11_HUMAN;NPB15_HUMAN;NPIB6_HUMAN;NPIB7_HUMAN;NPIB8_HUMAN;NPIB9_HUMAN","NPIPB11;NPIPB15;NPIPB6;NPIPB7;NPIPB8;NPIPB9","Nuclear pore complex-interacting protein family member B15",NA,NA,2739.31,NA,1949.99,NA,11305.8,2789.7,1339.13,NA,NA,NA,NA,NA,3226.91,NA,2285.47,6486.86,NA,NA,2727.56,2688.5,NA,3055.88
"A6NI72;A8MVU1;P14598","A6NI72;A8MVU1;P14598","NCF1B_HUMAN;NCF1C_HUMAN;NCF1_HUMAN","NCF1;NCF1B;NCF1C","Putative neutrophil cytosol factor 1B",4779.2,NA,3260.64,1759.34,1079.2,4171.02,2280.97,3019.61,6974.28,10641,1208.17,7464.5,NA,6462.27,8146.19,1374.6,NA,439.908,2432.38,2782.69,4208.13,4536.82,2047.94,1848.07
"A6NKQ9;A6NKQ9-2;P0DN86;P0DN86-2;P0DN87;Q6NT52","A6NKQ9-2;A6NKQ9;P0DN86-2;P0DN86;P0DN87;Q6NT52","CGB1_HUMAN;CGB2_HUMAN;CGB3_HUMAN;CGB7_HUMAN","CGB1;CGB2;CGB3;CGB7","Choriogonadotropin subunit beta variant 1",17319.8,NA,2170.95,5871.18,8371.1,10904.3,NA,7233.69,26614.3,3889.92,30209.8,NA,NA,8660.34,9374.54,17597,7549.13,6120.45,18115.2,25148.2,26437.4,8656.42,NA,8130.1
"A6NLP5;A6NLP5-2","A6NLP5-2;A6NLP5","TTC36_HUMAN","TTC36","Tetratricopeptide repeat protein 36",NA,NA,NA,NA,NA,4575.14,24224.9,NA,NA,41582.9,NA,NA,NA,2454.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A6NMZ7","A6NMZ7-2;A6NMZ7","CO6A6_HUMAN","COL6A6","Collagen alpha-6(VI) chain",NA,5047.05,NA,NA,NA,4059.68,NA,NA,1489.03,NA,1359.08,NA,NA,1889.05,NA,NA,NA,NA,16729.9,NA,NA,NA,NA,NA
"A6QL63;A6QL63-2;A6QL63-3","A6QL63-2;A6QL63-3;A6QL63-4;A6QL63-5;A6QL63","ABTB3_HUMAN","ABTB3","Ankyrin repeat and BTB/POZ domain-containing protein 3",NA,NA,9481.29,NA,NA,NA,NA,NA,NA,1352.86,NA,NA,NA,NA,NA,NA,NA,5285.45,NA,NA,NA,2577.44,NA,NA
"A7E2V4;A7E2V4-3;A7E2V4-4;A7E2V4-5","A7E2V4-3;A7E2V4-4;A7E2V4-5;A7E2V4","ZSWM8_HUMAN","ZSWIM8","Zinc finger SWIM domain-containing protein 8",48178.8,32225.2,24897.6,26712.2,27922.2,42355.2,43046.5,16802.1,44908.1,34874.9,20538.7,84369.7,32627.2,44308.9,46414.9,23221.6,8436.06,16939.4,49423.3,49264.6,25229.4,49391.2,31705.8,26327.1
"A7KAX9;A7KAX9-2;A7KAX9-3;O14559;O14559-10;O14559-11;Q7Z6I6;Q7Z6I6-2;Q7Z6I6-3;Q7Z6I6-4","A7KAX9-2;A7KAX9-3;A7KAX9;O14559-10;O14559-11;O14559;Q7Z6I6-2;Q7Z6I6-3;Q7Z6I6-4;Q7Z6I6","RHG30_HUMAN;RHG32_HUMAN;RHG33_HUMAN","ARHGAP30;ARHGAP32;ARHGAP33","Rho GTPase-activating protein 32",3656.62,NA,6294.6,NA,2093.21,NA,6528.92,NA,NA,1547.5,NA,NA,NA,NA,NA,NA,NA,2555.71,NA,NA,NA,NA,3228.33,NA
"A8K2U0","A8K2U0","A2ML1_HUMAN","A2ML1","Alpha-2-macroglobulin-like protein 1",15265.5,17903.3,18583.2,9732.82,24001.1,26905.7,26229.9,29321.2,21808.3,47932.9,24507.1,18520.3,29111,26816.7,28361.3,31188.9,49120.9,42681.5,17891.1,19317.5,37632.6,29668.9,47942.8,33180.6
"B0I1T2","B0I1T2-3;B0I1T2-4;B0I1T2","MYO1G_HUMAN","MYO1G","Unconventional myosin-Ig",4381.38,NA,18524.9,4108.18,3791.75,4811.05,18512.6,6057.36,6373.32,4239.13,7335.67,11536.3,7347.34,4127.78,4564.81,9576.95,5976.67,7954.32,NA,2966.11,13537.8,7782.43,7270.35,12992.8
"B5ME19;Q99613;Q99613-2","B5ME19;Q99613-2;Q99613","EIF3C_HUMAN;EIFCL_HUMAN","EIF3C;EIF3CL","Eukaryotic translation initiation factor 3 subunit C-like protein",13307,7395.06,28752.7,9042.55,NA,10771.2,12683.6,6810.98,2412.47,7648.72,7429.78,NA,5486.63,5620.22,6160.08,2176.32,12754.9,12486.1,8113.19,NA,14756,9330.99,8474.69,NA
"B9A064","A0M8Q6;B9A064;P0CF74;P0CG04;P0DOY2;P0DOY3","IGLL5_HUMAN","IGLL5","Immunoglobulin lambda-like polypeptide 5",437705,716900,272217,826766,867389,637944,612560,447928,498780,403684,576298,638078,376481,303723,687308,776004,507643,284103,823016,938055,454160,614651,429379,747438
"C4AMC7;Q6VEQ5","A8K0Z3;A8MWX3;C4AMC7;Q6VEQ5;Q9NQA3","WASH2_HUMAN;WASH3_HUMAN","WASH2P;WASH3P","Putative WAS protein family homolog 3",NA,2227.78,10388.1,2452.82,NA,3827.69,NA,5450.28,2465.85,NA,4026.92,NA,3335.51,NA,3726.85,NA,7746.17,2882.37,2453.7,NA,3838.66,3856.99,2017.75,NA
"E9PAV3","E9PAV3-2;E9PAV3;Q13765","NACAM_HUMAN","NACA","Nascent polypeptide-associated complex subunit alpha, muscle-specific form",1540.57,NA,9774.92,6821.79,2678.83,1082.16,NA,7580.49,1323.52,8856.4,2817.32,NA,NA,NA,1292.77,NA,NA,2444.97,NA,2325.92,NA,1844.63,3334.98,NA
"L0R6Q1","L0R6Q1","S35U4_HUMAN","SLC35A4","SLC35A4 upstream open reading frame protein",NA,NA,3986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M5A8F1","M5A8F1","SUPYN_HUMAN","ERVH48-1","Suppressyn",51547.4,15816.5,16411.1,49719.6,56658.5,66502.3,60449,31168.3,42337.2,29422.4,31156.9,62737.5,21758.5,61079.1,45372.5,60123.6,41239.3,12645.7,68266.4,15421.6,36261.7,40840.3,25251.6,105601
"O00116","O00116","ADAS_HUMAN","AGPS","Alkyldihydroxyacetonephosphate synthase, peroxisomal",NA,NA,17252.9,6080.6,NA,6227.33,6550.3,5800.07,NA,NA,5684.44,NA,1949.04,5645.27,NA,NA,6460.04,4313.63,NA,NA,6774.76,5292.55,NA,NA
"O00139-2","O00139-1;O00139-2;O00139-4;O00139-5;O00139","KIF2A_HUMAN","KIF2A","Isoform 2 of Kinesin-like protein KIF2A",11936.3,13758.9,250359,55399.9,9366.74,42459.2,40766.6,43953.6,11756,14769.2,8146.92,6363.74,34616.7,8729.73,10372.7,7828.74,37425.9,54907.5,NA,NA,10764,47512.5,12408.8,8964.38
"O00151","O00151","PDLI1_HUMAN","PDLIM1","PDZ and LIM domain protein 1",6295.65,NA,58051.4,19169,NA,17722.9,25469.1,21174.6,15254.4,NA,NA,NA,25149.9,NA,NA,8166.21,21439.6,39611.9,1508.4,NA,NA,19742.2,4530.98,2341.35
"O00154;O00154-2;O00154-3;O00154-4;O00154-6;O00154-7","O00154-2;O00154-3;O00154-4;O00154-5;O00154-6;O00154-7;O00154","BACH_HUMAN","ACOT7","Cytosolic acyl coenzyme A thioester hydrolase",NA,NA,27832.1,4899.04,NA,5457.69,10514.3,9805.97,NA,4605.9,2196.78,NA,6848.06,NA,2425.34,4331.35,15786,11603.1,NA,5245.54,13940.3,7783.57,3210.87,3161.86
"O00159;O00159-2;O00159-3","O00159-2;O00159-3;O00159","MYO1C_HUMAN","MYO1C","Unconventional myosin-Ic",9570.84,6630.33,28734.3,8817.99,NA,6638.87,5958.01,6887.52,4487.84,4313.82,5337.57,11871.3,4781.46,NA,2574.63,4236.36,11664.4,10920.3,5652.07,3568.86,9263.93,10092.8,7173.04,5501.87
"O00160","O00160","MYO1F_HUMAN","MYO1F","Unconventional myosin-If",NA,NA,5396.26,4563.89,NA,NA,5169.42,3909.41,6408.77,NA,2587.34,NA,NA,NA,2239.31,NA,3449.71,5052.9,NA,NA,NA,2545.73,3495.42,NA
"O00161","O00161-2;O00161","SNP23_HUMAN","SNAP23","Synaptosomal-associated protein 23",11025,11089.6,94992.6,26534.1,12732.5,23893.4,23278.8,32140.2,14625.5,11792.8,5924.44,6226.69,28994.4,4930.81,7880.28,NA,29838.2,33900.6,10536.4,NA,11509.3,20112,10266.5,12607.7
"O00178","O00178","GTPB1_HUMAN","GTPBP1","GTP-binding protein 1",NA,NA,3271.85,1417.35,NA,1817.6,3806.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,2867.11,3204.19,NA,NA,NA,NA,NA,NA
"O00186","O00186","STXB3_HUMAN","STXBP3","Syntaxin-binding protein 3",6903.01,8992.22,44508.9,11648,8976.74,13477.9,21839.9,17229.8,7964.52,5384.26,2305.52,NA,8442.91,17659.9,3361.38,13099,10936.1,12811.3,NA,NA,NA,12744.5,3141.94,NA
"O00187","O00187-2;O00187","MASP2_HUMAN","MASP2","Mannan-binding lectin serine protease 2",194538,180480,123007,179377,165205,210879,274956,278832,168669,157477,183341,106646,232947,186627,215036,260226,208867,117680,184648,199317,201954,193230,137282,273857
"O00194","O00194","RB27B_HUMAN","RAB27B","Ras-related protein Rab-27B",95180.9,56188.9,1125150,329694,37347.9,249531,224547,217924,109491,87146.8,30741.6,40260.5,206935,21431.3,26607.3,15676.1,243721,316348,29509.1,7554.72,64661.4,228729,49321.4,24868.3
